albumID,artistID,trackID,Track,Albums,Artist(s),Popularity,Image URL,time_range,Rank
0vwIHq1DdPfoNGoqQDeYwk,3QDaXfnxfQqqJQK5lSdjLN,5fAmxgtPtKa7Loz74ABxxz,Spike Driver Blues - Live,"Pure Jerry: Marin Veteran's Memorial Auditorium, San Rafael, California, February 28, 1986","Jerry Garcia, John Kahn",10,https://i.scdn.co/image/ab67616d0000b27377d87aad9893799727827b38,medium_term,33
2Lxt0taVNc2Bv20rt0d21w,4TMHGUX5WI7OOm53PqSDAT,7gHWcFPnnyy0j3HQPeGRR3,"Looks Like Rain (Live at RFK Stadium, Washington, DC, 6/10/73)","RFK Stadium, Washington, DC, 6/10/73 (Live)",Grateful Dead,19,https://i.scdn.co/image/ab67616d0000b2738a059891f38f4985a426d89b,medium_term,34
0vwIHq1DdPfoNGoqQDeYwk,3QDaXfnxfQqqJQK5lSdjLN,19QfAW3Ig4uucUYDf9oQWq,When I Paint My Masterpiece - Live,"Pure Jerry: Marin Veteran's Memorial Auditorium, San Rafael, California, February 28, 1986","Jerry Garcia, John Kahn",12,https://i.scdn.co/image/ab67616d0000b27377d87aad9893799727827b38,medium_term,35
2Lxt0taVNc2Bv20rt0d21w,4TMHGUX5WI7OOm53PqSDAT,1QA5senoc6Ff8yQtnnMGLu,"Box of Rain (Live at RFK Stadium, Washington, DC, 6/10/73)","RFK Stadium, Washington, DC, 6/10/73 (Live)",Grateful Dead,20,https://i.scdn.co/image/ab67616d0000b2738a059891f38f4985a426d89b,medium_term,36
2Lxt0taVNc2Bv20rt0d21w,4TMHGUX5WI7OOm53PqSDAT,427ItdZMgvex03S4aReNDW,"Jack Straw (Live at RFK Stadium, Washington, DC, 6/10/73)","RFK Stadium, Washington, DC, 6/10/73 (Live)",Grateful Dead,21,https://i.scdn.co/image/ab67616d0000b2738a059891f38f4985a426d89b,medium_term,37
0vwIHq1DdPfoNGoqQDeYwk,3QDaXfnxfQqqJQK5lSdjLN,04jMTlscPWTnFWFVRtAFhJ,Dire Wolf - Live,"Pure Jerry: Marin Veteran's Memorial Auditorium, San Rafael, California, February 28, 1986","Jerry Garcia, John Kahn",13,https://i.scdn.co/image/ab67616d0000b27377d87aad9893799727827b38,medium_term,38
1lKWIQuLHxdlifTuudutTl,1VPmR4DJC1PlOtd0IADAO0,1d966178PJg6b4kcXqoYF3,The Thin Grey Line,New World Depression,$uicideboy$,70,https://i.scdn.co/image/ab67616d0000b27335d777c5fa4a353b87ad62bd,medium_term,39
1PeC1ckDJSzYHkwo6JHbP2,2mVVjNmdjXZZDvhgQWiakk,2pvYxLYo0cNSnYhWBGdXQQ,Fifteen Fifty-Three,A LA SALA,Khruangbin,52,https://i.scdn.co/image/ab67616d0000b2733854b553506134a1421ed58c,medium_term,40
2IzUZlhtBvPQYs74KeG6fb,2mVVjNmdjXZZDvhgQWiakk,4HpFU6eMThgW6Cael5AwYy,So We Won't Forget,Mordechai,Khruangbin,61,https://i.scdn.co/image/ab67616d0000b273d0eca87ea7f362cf1b8fa19a,medium_term,41
2Lxt0taVNc2Bv20rt0d21w,4TMHGUX5WI7OOm53PqSDAT,5Ka80ETZbbaNCwRKVNbEGD,"They Love Each Other (Live at RFK Stadium, Washington, DC, 6/10/73)","RFK Stadium, Washington, DC, 6/10/73 (Live)",Grateful Dead,21,https://i.scdn.co/image/ab67616d0000b2738a059891f38f4985a426d89b,medium_term,42
