artistID,Artist,Genres,Popularity,Image URL,time_range,Rank
3QDaXfnxfQqqJQK5lSdjLN,Jerry Garcia,"country rock, jam band, jamgrass, roots rock",51,https://i.scdn.co/image/ab6761610000e5eb71eeedbc274fe4e36abd3af9,long_term,11
7GaxyUddsPok8BuhxN6OUW,James Brown,"funk, soul, vocal jazz",64,https://i.scdn.co/image/ab6761610000e5eb158342aa8bb8a192c778f2a5,long_term,12
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,"conscious hip hop, hip hop, rap, west coast rap",97,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918,long_term,13
7dGJo4pcD2V6oG8kP0tJRR,Eminem,"detroit hip hop, hip hop, rap",93,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b,long_term,14
74ASZWbe4lXaubB36ztrGX,Bob Dylan,"classic rock, country rock, folk, folk rock, rock, roots rock, singer-songwriter",75,https://i.scdn.co/image/ab6761610000e5eb791742524609864273747ef5,long_term,15
43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,"rock-and-roll, rockabilly",82,https://i.scdn.co/image/ab6761610000e5eb9a93e273380982dff84c0d7c,long_term,16
1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,"cloud rap, dark trap, new orleans rap, underground hip hop",87,https://i.scdn.co/image/ab6761610000e5ebb0019debdbe359a73295887f,long_term,17
3PhoLpVuITZKcymswpck5b,Elton John,"glam rock, mellow gold, piano rock, rock",85,https://i.scdn.co/image/ab6761610000e5eb0a7388b95df960b5c0da8970,long_term,18
776Uo845nYHJpNaStv1Ds4,Jimi Hendrix,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",70,https://i.scdn.co/image/ab6761610000e5eb31f6ab67e6025de876475814,long_term,19
28AyklUmMECPwdfo8NEsV0,Jimmy Buffett,trop rock,68,https://i.scdn.co/image/ab6761610000e5ebc51b2d9deea2b3cc8360828d,long_term,20
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,"lgbtq+ hip hop, neo soul",89,https://i.scdn.co/image/ab6761610000e5ebee3123e593174208f9754fab,long_term,21
6kACVPfCOnqzgfEF5ryl0x,Johnny Cash,"arkansas country, outlaw country, rock",76,https://i.scdn.co/image/ab6761610000e5eb94a8326675bfcafb20f0a235,long_term,22
22WZ7M8sxp5THdruNY3gXt,The Doors,"acid rock, album rock, classic rock, hard rock, psychedelic rock, rock",75,https://i.scdn.co/image/ab6761610000e5eb440959e022afc20e819050bd,long_term,23
6hnWRPzGGKiapVX1UCdEAC,Sam Cooke,"classic soul, soul, vocal jazz",70,https://i.scdn.co/image/ab6761610000e5eb41aaa3a05d2ddba59454273e,long_term,24
20qISvAhX20dpIbOOzGK3q,Nas,"conscious hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, queens hip hop, rap",74,https://i.scdn.co/image/ab6761610000e5eb153198caeef9e3bda92f9285,long_term,25
36QJpDe2go2KgaRleHCDTp,Led Zeppelin,"album rock, classic rock, hard rock, rock",77,https://i.scdn.co/image/207803ce008388d3427a685254f9de6a8f61dc2e,long_term,26
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,100,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,long_term,27
3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival,"album rock, classic rock, country rock, mellow gold, rock, southern rock, swamp rock",82,https://i.scdn.co/image/ab6761610000e5ebd2e2b04b7ba5d60b72f54506,long_term,28
5v2WhpA59TJSdPh7LCx1lN,BONES,"cloud rap, dark trap",75,https://i.scdn.co/image/ab6761610000e5eb31672210ac133d978de5ce45,long_term,29
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,"album rock, british invasion, classic rock, rock",80,https://i.scdn.co/image/ab6761610000e5ebe4cea917b68726aadb4854b8,long_term,30
3ZH4IYVc5qVlKyJoZhGpwy,Katy Kirby,"bubblegrunge, indie pop, modern indie folk",37,https://i.scdn.co/image/ab6761610000e5ebe37641d3f1bf27d96c9ef587,long_term,31
1ZwdS5xdxEREPySFridCfh,2Pac,"g funk, gangster rap, hip hop, rap, west coast rap",82,https://i.scdn.co/image/ab6761610000e5eb7f5cc432c9c109248ebec1ac,long_term,32
1SQRv42e4PjEYfPhS0Tk9E,The Kinks,"album rock, art rock, british invasion, classic rock, folk rock, glam rock, protopunk, psychedelic rock, rock, singer-songwriter",67,https://i.scdn.co/image/ab6761610000e5eb81f4e878e8b959fa68f15322,long_term,33
4lxfqrEsLX6N1N4OCSkILp,Phil Collins,"rock drums, soft rock",78,https://i.scdn.co/image/ab6761610000e5ebd4e38c4e3e5c82774740e28d,long_term,34
3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap",96,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,long_term,35
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,"album rock, classic rock, rock, soft rock, yacht rock",83,https://i.scdn.co/image/ab6761610000e5ebc8752dd511cda8c31e9daee8,long_term,36
3wYyutjgII8LJVVOLrGI0D,Buddy Holly,"classic rock, folk rock, mellow gold, rock-and-roll, rockabilly, singer-songwriter",58,https://i.scdn.co/image/ff6c6ecd90618f5fb0f8fbf51bf8477586c8843b,long_term,37
